#source: http://tdc-www.harvard.edu/instruments/tres/thar/
#wavelength(Å) line
6861.2688 ArII
6871.2891 ArI
6874.7530 ThI
6888.1742 ArI
6911.2264 ThI
6937.6642 ArI
6943.6105 ThI
6951.4776 ArI
6960.2500 ArI
6965.4307 ArI
6989.6553 ThI
7018.5675 ThI
7030.2514 ArI
7067.2181 ArI
7068.7358 ArI
7084.1690 ThI
7107.4778 ArI
7124.5607 ThI
7125.8200 ArI
7147.0416 ArI
7150.2844 ThI
7158.8387 ArI
7168.8952 ThI
7218.0542 ThI
7219.1515 ThI
7265.1724 ArI
7270.6636 ArI
7272.9359 ArI
7284.9033 ThI
7311.7159 ArI
7316.0050 ArI
7328.2850 ThI
7353.2930 ArI
7372.1184 ArI
7383.9805 ArI
7392.9801 ArI
7412.3368 ArI
7428.9405 ThI
7430.2533 ThI
7435.3683 ArI
7436.2970 ArI
7471.1641 ArI
7481.3545 ThI
7484.3267 ArI
7503.8691 ArI
7510.4082 ArI
7549.3138 ThI
7567.7417 ThI
7585.7922 ThI
7627.1749 ThI
7628.8818 ArI
7635.1060 ArI
7647.3794 ThI
7723.7611 ArI
7724.2072 ArI
7788.9342 ThI
7817.7669 ThI
7847.5394 ThI
7891.0750 ArI
7948.1764 ArI
7978.9731 ThI
8006.1567 ArI
8014.7857 ArI
8032.4313 ThI
8093.6238 ThI
8103.6931 ArI
8115.3110 ArI
8138.4753 ThI
8143.1380 ThI
8159.7277 ThI
8186.9113 ThI
8275.6266 ThI
8320.8554 ThI
8330.4494 ThI
8384.7240 ArI
8408.2096 ArI
8416.7269 ThI
8421.2254 ThI
8424.6475 ArI
8478.3580 ThI
8521.4422 ArI
8554.9440 ThI
8573.1205 ThI
8605.7762 ArI
8620.4602 ArI
8709.2341 ThI
8748.0309 ThI
8758.2434 ThI
8761.6862 ArI
8775.5733 ThI
8799.0875 ArI
8967.6403 ThI
9048.2501 ThI
9063.9600 ThI
9075.3945 ArI
9094.8289 ThI
